ID,component,defect
e5dbf056-48cf-43f0-9c50-b93e696ef8c1,[],['Corrosion-Heavy']
e5dbf056-48cf-43f0-9c50-b93e696ef8c1,['Centre Support-Bolt'],[]
0147a851-4a20-45e9-a68c-b08434bed53d,[],['Corrosion-Heavy']
0147a851-4a20-45e9-a68c-b08434bed53d,['Centre Support-Bolt'],[]
ba5e1e8b-7b45-463e-ae50-7e9008e53a21,[],['Corrosion-Heavy']
ba5e1e8b-7b45-463e-ae50-7e9008e53a21,['Centre Support-Bolt'],[]
05721f7a-c81d-44de-b8d1-5168cf817697,[],['Corrosion-Heavy']
05721f7a-c81d-44de-b8d1-5168cf817697,['Centre Support-Bolt'],[]
cd0ac093-53f7-47e0-8ef9-c489e5c8a939,[],['Corrosion-Heavy']
cd0ac093-53f7-47e0-8ef9-c489e5c8a939,['Centre Support-Bolt'],[]
7ab57503-2311-4e14-8de0-8291dec6c1cf,[],['Corrosion-Heavy']
7ab57503-2311-4e14-8de0-8291dec6c1cf,['Centre Support-Bolt'],[]
d5d2868d-a5bc-4baa-b630-5eccb25ba921,[],['Corrosion-Heavy']
d5d2868d-a5bc-4baa-b630-5eccb25ba921,['Centre Support-Bolt'],[]
82b8af7d-136c-45c7-8d54-3ec5d908ab92,[],['Corrosion-Heavy']
82b8af7d-136c-45c7-8d54-3ec5d908ab92,['Centre Support-Bolt'],[]
db19c5fb-3079-4109-bbeb-6328014fa909,[],['Corrosion-Heavy']
db19c5fb-3079-4109-bbeb-6328014fa909,['Centre Support-Bolt'],[]
28ce7ec7-3e91-4ea0-a6e1-1bf4c256332b,[],['Corrosion-Heavy']
28ce7ec7-3e91-4ea0-a6e1-1bf4c256332b,['Centre Support-Bolt'],[]
47973566-dde1-418c-a614-14302487cc6f,[],['Corrosion-Heavy']
47973566-dde1-418c-a614-14302487cc6f,['Centre Support-Bolt'],[]
e5dbf056-48cf-43f0-9c50-b93e696ef8c1,['Centre Support'],[]
b36a0159-c164-4df3-b673-04cee0b07bfd,[],['Corrosion-Heavy']
b36a0159-c164-4df3-b673-04cee0b07bfd,['Centre Support'],[]
10cf6696-9bbd-4e01-8c18-cb59796e9cf0,[],['Corrosion-Heavy']
10cf6696-9bbd-4e01-8c18-cb59796e9cf0,['Centre Support'],[]
6c510e4f-dc6b-4dea-a615-9c57e3b6da73,[],['Corrosion-Heavy']
6c510e4f-dc6b-4dea-a615-9c57e3b6da73,['Centre Support'],[]
84670683-461b-4c6a-bbcd-4ea8717c85c9,[],['Corrosion-Heavy']
84670683-461b-4c6a-bbcd-4ea8717c85c9,['Centre Support'],[]
d8fb736f-d971-4b87-8a36-1ea2d61a5550,[],['Corrosion-Heavy']
d8fb736f-d971-4b87-8a36-1ea2d61a5550,['Centre Support'],[]
c6c42ea1-1e33-46a4-9d2f-4147dea5f27c,[],['Corrosion-Heavy']
c6c42ea1-1e33-46a4-9d2f-4147dea5f27c,['Centre Support'],[]
a772dca6-2e94-4749-a3e1-855400b3fa19,[],['Corrosion-Heavy']
a772dca6-2e94-4749-a3e1-855400b3fa19,['Centre Support'],[]
602236ac-6e84-46d5-b1e8-03ff46d6e67d,[],['Corrosion-Heavy']
602236ac-6e84-46d5-b1e8-03ff46d6e67d,['Centre Support'],[]
cae8d23b-0e84-45a8-8fc5-a7ac5c898445,[],['Corrosion-Heavy']
